,age,monthly_income,sex,marital_status,no_of_dependents,risk
0,20,59,1,0,0,0
1,30,41,0,0,0,0
2,20,43,0,0,0,0
3,30,58,1,0,0,0
4,25,55,1,0,0,0
5,26,49,0,0,0,0
6,24,60,1,0,0,0
7,19,50,0,0,0,0
8,25,47,0,0,0,0
9,21,48,0,0,0,0
10,23,56,1,0,0,0
11,24,49,1,0,0,0
12,22,55,1,0,0,0
13,23,40,0,0,0,0
14,23,46,0,0,0,0
15,23,44,0,0,0,0
16,21,56,1,0,0,0
17,28,47,0,0,0,0
18,24,59,1,0,0,0
19,23,44,0,0,0,0
20,25,52,0,0,1,0
21,22,46,1,0,1,0
22,19,59,1,0,1,0
23,25,40,0,0,1,0
24,24,52,0,0,1,0
25,25,59,0,0,1,0
26,21,43,1,0,1,0
27,25,56,0,0,1,0
28,30,52,1,0,1,0
29,29,45,0,0,1,0
30,18,52,0,0,1,0
31,23,57,0,0,1,0
32,20,52,0,0,1,0
33,19,40,1,0,1,0
34,27,46,1,0,1,0
35,24,54,1,0,1,0
36,26,40,0,0,1,0
37,19,50,1,0,1,0
38,20,46,1,0,1,0
39,27,52,0,0,1,0
40,42,57,1,0,2,0
41,43,48,1,0,2,0
42,48,42,0,0,2,0
43,35,49,1,0,2,0
44,47,44,0,0,2,0
45,34,58,1,0,2,0
46,38,60,1,0,2,0
47,45,48,0,0,2,0
48,33,55,0,0,2,0
49,46,41,0,0,2,0
50,42,54,0,0,2,0
51,35,42,1,0,2,0
52,41,53,1,0,2,0
53,43,45,1,0,2,0
54,30,46,1,0,2,0
55,35,42,1,0,2,0
56,38,49,0,0,2,0
57,33,58,1,0,2,0
58,38,41,1,0,2,0
59,50,48,1,0,2,0
60,48,53,1,0,2,0
61,41,47,1,0,2,0
62,43,57,0,0,2,0
63,34,47,1,0,2,0
64,41,48,1,0,2,0
65,44,50,1,0,2,0
66,32,60,1,0,2,0
67,46,57,1,0,2,0
68,32,50,1,0,2,0
69,39,42,0,0,2,0
70,33,59,1,0,2,0
71,43,60,1,0,2,0
72,42,55,0,0,2,0
73,49,42,1,0,2,0
74,47,43,0,0,2,0
75,48,58,1,0,2,0
76,33,41,1,0,2,0
77,30,47,1,0,2,0
78,40,47,0,0,2,0
79,44,42,0,0,2,0
80,50,42,1,0,3,0
81,32,52,1,0,3,0
82,38,41,1,0,3,0
83,39,59,0,0,3,0
84,49,51,1,0,3,0
85,39,42,0,0,3,0
86,34,44,0,0,3,0
87,42,58,0,0,3,0
88,32,50,1,0,3,0
89,46,56,0,0,3,0
90,35,54,0,0,3,0
91,41,43,0,0,3,0
92,34,48,1,0,3,0
93,34,40,0,0,3,0
94,48,51,0,0,3,0
95,48,48,0,0,3,0
96,33,54,0,0,3,0
97,35,48,0,0,3,0
98,50,51,0,0,3,0
99,40,43,0,0,3,0
100,42,56,1,0,3,0
101,46,52,0,0,3,0
102,39,55,0,0,3,0
103,41,50,1,0,3,0
104,41,45,1,0,3,0
105,37,41,1,0,3,0
106,32,57,0,0,3,0
107,46,41,0,0,3,0
108,39,60,0,0,3,0
109,41,56,0,0,3,0
110,50,47,0,0,3,0
111,32,49,1,0,3,0
112,41,46,0,0,3,0
113,48,55,0,0,3,0
114,40,42,1,0,3,0
115,40,46,0,0,3,0
116,45,42,1,0,3,0
117,38,46,1,0,3,0
118,42,46,1,0,3,0
119,36,60,0,0,3,0
120,56,59,1,0,3,0
121,54,57,0,0,3,0
122,70,59,0,0,3,0
123,62,47,0,0,3,0
124,50,40,1,0,3,0
125,65,49,1,0,3,0
126,72,46,0,0,3,0
127,68,47,0,0,3,0
128,71,43,0,0,3,0
129,63,52,0,0,3,0
130,58,49,0,0,3,0
131,76,60,0,0,3,0
132,63,43,1,0,3,0
133,76,52,1,0,3,0
134,51,42,0,0,3,0
135,78,42,0,0,3,0
136,56,60,0,0,3,0
137,57,56,0,0,3,0
138,69,45,0,0,3,0
139,51,48,0,0,3,0
140,68,55,1,0,3,0
141,59,54,0,0,3,0
142,69,45,1,0,3,0
143,60,59,1,0,3,0
144,68,52,1,0,3,0
145,54,60,1,0,3,0
146,64,45,1,0,3,0
147,63,43,0,0,3,0
148,74,40,1,0,3,0
149,71,51,1,0,3,0
150,78,54,1,0,3,0
151,53,57,0,0,3,0
152,71,55,1,0,3,0
153,51,53,0,0,3,0
154,65,56,1,0,3,0
155,54,59,0,0,3,0
156,66,41,1,0,3,0
157,79,59,1,0,3,0
158,60,57,1,0,3,0
159,51,47,0,0,3,0
160,60,43,1,0,4,0
161,61,52,0,0,4,0
162,76,60,0,0,4,0
163,75,41,0,0,4,0
164,50,56,0,0,4,0
165,51,53,1,0,4,0
166,59,45,0,0,4,0
167,52,55,1,0,4,0
168,57,47,0,0,4,0
169,68,47,1,0,4,0
170,56,40,0,0,4,0
171,57,47,0,0,4,0
172,80,55,0,0,4,0
173,53,54,0,0,4,0
174,77,50,1,0,4,0
175,73,45,1,0,4,0
176,52,56,1,0,4,0
177,57,54,0,0,4,0
178,57,60,1,0,4,0
179,72,60,1,0,4,0
180,56,58,0,0,4,0
181,77,46,1,0,4,0
182,60,53,1,0,4,0
183,79,43,1,0,4,0
184,70,42,0,0,4,0
185,52,41,1,0,4,0
186,62,54,1,0,4,0
187,67,42,0,0,4,0
188,65,47,0,0,4,0
189,53,55,0,0,4,0
190,78,60,1,0,4,0
191,67,45,0,0,4,0
192,62,44,1,0,4,0
193,77,44,0,0,4,0
194,67,58,1,0,4,0
195,74,46,0,0,4,0
196,78,43,0,0,4,0
197,69,43,1,0,4,0
198,56,54,1,0,4,0
199,67,42,0,0,4,0
200,66,41,0,1,4,0
201,73,51,1,1,4,0
202,51,51,1,1,4,0
203,73,58,0,1,4,0
204,57,51,1,1,4,0
205,74,55,0,1,4,0
206,50,53,1,1,4,0
207,59,45,1,1,4,0
208,68,41,0,1,4,0
209,51,40,1,1,4,0
210,65,58,1,1,4,0
211,71,41,0,1,4,0
212,68,55,1,1,4,0
213,73,60,0,1,4,0
214,74,48,1,1,4,0
215,57,44,0,1,4,0
216,66,56,0,1,4,0
217,64,42,1,1,4,0
218,67,55,1,1,4,0
219,50,58,0,1,4,0
